Id,Id2,Geography,Estimate; Total:, United Kingdom ,England,France,Scotland, Ireland,Denmark,Norway, Sweden,Estimate; Europe: - Western Europe:, Austria, Belgium, Germany, Netherlands,Switzerland,Greece,Italy, Portugal,Azores Islands, Spain,Albania, Belarus,Bulgaria,Croatia,Czechoslovakia (includes Czech Republic and Slovakia),Hungary,Latvia,Lithuania, Macedonia, Moldova, Poland, Romania,Russia,Ukraine,Bosnia and Herzegovina,Serbia,China,Hong Kong,Taiwan,Japan,Korea,Afghanistan, Bangladesh, India,Iran, Kazakhstan,Nepal,Pakistan, Sri Lanka, Uzbekistan, Cambodia, Indonesia, Laos, Malaysia,Burma, Philippines,Singapore, Thailand,Vietnam, Iraq,Israel,Jordan,Kuwait, Lebanon,Saudi Arabia, Syria,Yemen,Turkey,Armenia, Eritrea,Ethiopia,Kenya,Somalia,Cameroon,Egypt,Morocco,Sudan,South Africa, Cabo Verde, Ghana, Liberia,Nigeria,Sierra Leone,Africa, Australia,New Zealand,Fiji,Caribbean,Bahamas,Barbados,Cuba, Dominica, Dominican Republic, Grenada, Haiti, Jamaica,St. Vincent and the Grenadines, West Indies,Mexico,Belize, Costa Rica, El Salvador, Guatemala,Honduras, Nicaragua,Panama, Argentina,Bolivia, Brazil,Chile,Colombia,Ecuador, Guyana,Peru, Uruguay,Venezuela,Canada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400000US01,1,Alabama,167224,3941,2310,534,393,228,49,54,122,8670,231,265,7103,482,50,312,472,86,0,412,39,26,127,47,239,259,56,38,14,89,373,438,1255,497,87,88,8688,303,885,1540,8761,36,674,8759,790,174,633,1332,236,22,504,659,1038,346,22,4878,89,1336,5784,157,179,346,68,517,798,150,311,394,0,16,349,1299,0,176,543,178,191,582,18,360,328,1155,20,622,358,483,72,6055,397,126,1592,48,474,81,791,1641,142,48,57765,97,225,2180,11041,2488,827,1281,205,140,865,295,1503,412,422,722,73,658,3117
0400000US02,2,Alaska,54047,847,454,138,115,130,98,165,120,2228,149,21,1647,79,184,76,142,3,0,86,87,90,131,0,99,91,29,19,490,121,377,242,1523,1188,92,99,1621,138,205,806,3953,0,297,678,90,44,131,70,36,126,88,69,1462,76,5,16327,12,2138,961,2,8,38,25,60,0,14,14,112,14,4,161,3,459,42,26,2,232,108,0,85,3,283,0,262,182,289,0,1834,0,0,110,106,1071,3,166,134,1,41,4011,43,113,518,248,263,173,240,115,34,158,178,732,118,14,221,31,36,2618
0400000US04,4,Arizona,896004,16405,8731,3119,1414,1828,594,515,1034,23595,829,576,15965,2119,896,1397,4229,658,46,1525,487,262,1184,1068,1351,1566,234,325,237,182,5512,5397,3943,2066,4311,1416,24514,2608,3668,5232,11775,1025,1677,30122,6204,505,870,1653,477,994,1532,1230,1618,1261,2162,27340,1055,4455,19487,9835,1832,1674,997,1742,1401,1183,95,957,169,1040,2157,1620,1513,730,1706,656,1593,2099,14,758,1158,1783,190,2245,1650,2468,147,11505,156,149,5673,43,1379,31,1131,1401,124,124,515322,417,732,8565,11511,3802,1285,1085,1729,604,2281,1374,4859,1525,662,3571,506,1193,42059
0400000US05,5,Arkansas,138822,2545,1121,536,242,144,156,51,57,3655,107,98,2734,150,15,47,280,94,8,248,21,0,391,6,144,60,11,15,9,8,328,379,637,350,63,81,4850,83,800,930,1598,0,490,7691,404,40,107,990,154,143,220,308,2661,326,147,3436,51,909,4119,286,119,182,69,88,316,389,208,288,7,0,172,115,0,187,184,212,0,383,0,152,15,388,0,35,322,414,27,1193,13,27,399,12,318,13,116,167,33,15,63512,90,322,11185,4058,2195,512,271,315,699,372,108,1038,424,0,843,30,239,2378
0400000US06,6,California,10389990,126551,62949,35302,10563,18648,7022,4930,11979,158437,7910,5228,81598,18632,9290,12562,30609,26860,5595,15173,1243,7327,8655,4928,10221,11876,2894,3633,537,7714,20357,25903,64111,55650,4904,4049,817915,98785,170090,106765,333532,27117,13513,419988,200915,4181,9732,43295,11492,5695,60416,39167,57426,14956,24774,837225,9743,69348,503899,43372,31654,13304,4643,31589,10883,23032,6815,16060,70793,5613,21680,10445,3529,2310,35082,6153,2119,17291,309,5650,2287,21723,1901,8762,19385,27074,32726,71499,463,1148,34080,425,5781,469,4249,14003,481,949,4252744,17811,12206,424963,273144,61791,66751,9727,33503,8885,34312,15964,41220,24497,3581,73266,2748,9823,131677
0400000US08,8,Colorado,515772,13293,6251,2408,1163,936,434,368,1042,23519,1173,360,16659,1780,1127,816,1761,298,10,1388,227,1157,1284,296,2231,1063,451,719,50,580,3832,1726,7223,3656,1513,227,19296,1030,2545,4175,16077,1139,386,17271,2833,467,3528,1218,182,1028,1559,1673,2633,780,1403,9435,340,3597,16799,1463,985,516,413,696,1918,456,115,831,541,1438,7708,1399,1715,252,969,885,1725,2581,0,2721,443,2046,181,1467,2050,2862,66,6356,102,117,1474,40,715,0,641,2018,68,382,231442,202,670,7874,6132,4660,1029,967,2170,544,2271,1159,3921,732,137,4806,189,2101,14139
0400000US09,9,Connecticut,500147,14571,6879,2984,1470,3899,529,485,1020,16076,803,898,9167,1413,767,4402,18881,11253,142,1584,4375,1091,541,628,1526,1875,375,751,841,187,26561,2801,5209,4531,2961,564,24172,1822,2395,3122,7717,990,4524,35895,1509,152,1324,5522,691,497,2444,413,2421,532,500,10586,514,1515,6132,836,1280,478,161,1076,1805,591,195,2022,45,79,532,521,222,160,1767,1305,332,1600,1058,3647,598,2625,190,1955,1098,1368,0,75910,184,765,3226,1128,17255,404,12080,35641,291,766,26770,108,1938,5442,14472,6234,1344,639,3598,387,14663,1421,15235,19137,3752,15867,851,2233,14921
0400000US10,10,Delaware,80163,2230,1022,338,392,506,24,27,105,2655,146,81,1733,259,98,437,1182,129,0,417,30,155,209,82,172,36,21,145,0,4,594,242,391,261,62,85,5562,69,764,359,2106,133,313,10031,499,26,295,1378,57,9,85,124,134,192,9,2596,39,151,1326,177,167,78,17,127,122,1,9,537,38,68,144,1646,0,461,696,201,0,201,18,993,1004,1076,260,1139,47,61,0,7802,83,97,664,190,1338,27,2362,2035,29,14,15094,87,79,571,4336,564,167,309,277,5,494,192,954,213,858,429,55,161,1085
0400000US11,11,District of Columbia,91588,2849,891,2195,70,491,121,95,381,5285,266,372,1884,240,291,191,1253,104,0,1447,132,101,428,142,166,170,115,90,28,74,372,356,1298,407,112,155,4121,306,577,861,1276,54,320,2578,702,21,200,388,156,82,84,134,17,84,127,2143,243,511,1283,76,346,69,171,235,208,149,50,387,104,604,5696,374,135,1126,403,321,125,389,0,565,177,1794,363,711,746,877,13,8466,173,82,648,9,2252,230,577,2499,27,168,3019,61,296,13165,3213,1532,498,405,787,574,1547,457,1816,454,947,1383,248,510,1938
0400000US12,12,Florida,3875498,76257,37991,16561,7220,8479,2383,2634,4474,89475,3750,3443,54566,7514,3268,10323,30473,9117,564,18133,4970,1626,4725,2959,7670,9467,1359,2304,950,1805,22251,11296,20593,12769,9152,2602,55114,4802,7342,10553,21125,1130,7708,73628,9660,1411,912,13273,1412,1460,4020,2848,4316,2450,3035,78063,1120,12124,50890,3523,13152,3725,1777,7166,3449,3636,52,9049,537,753,2330,2805,390,529,10518,8074,1089,10162,980,2348,1074,8038,237,3408,4056,5666,168,1603587,19257,5809,890117,6393,112287,2770,297639,206174,2191,5098,270617,4513,17284,40682,72100,86518,105321,21556,46172,8127,67823,18891,241984,47298,32329,90085,13722,105847,110488
